iter	Passed	Remaining
0	58	58037
1	58	29265
2	59	19611
3	59	14821
4	60	11963
5	60	10060
6	61	8691
7	61	7661
8	62	6852
9	62	6209
10	63	5677
11	63	5238
12	64	4864
13	64	4545
14	65	4270
15	65	4027
16	65	3811
17	66	3619
18	66	3446
19	67	3290
20	67	3149
21	67	3022
22	68	2908
23	68	2803
24	69	2705
25	69	2613
26	70	2528
27	70	2450
28	71	2378
29	71	2310
30	71	2248
31	72	2188
32	72	2130
33	73	2077
34	73	2029
35	74	1983
36	74	1939
37	74	1898
38	75	1860
39	76	1825
40	76	1791
41	77	1756
42	77	1724
43	77	1694
44	78	1663
45	78	1634
46	79	1605
47	79	1579
48	80	1553
49	80	1528
50	80	1504
51	81	1482
52	81	1460
53	82	1439
54	82	1418
55	83	1399
56	83	1380
57	83	1361
58	84	1343
59	84	1327
60	85	1311
61	85	1294
62	86	1279
63	86	1263
64	86	1248
65	87	1234
66	87	1219
67	88	1206
68	88	1193
69	88	1181
70	89	1169
71	89	1158
72	90	1146
73	90	1136
74	91	1125
75	91	1115
76	92	1104
77	92	1093
78	92	1083
79	93	1074
80	93	1065
81	94	1055
82	94	1044
83	94	1035
84	95	1026
85	95	1018
86	96	1010
87	96	1002
88	97	994
89	97	987
90	98	979
91	98	972
92	98	965
93	99	957
94	99	950
95	100	943
96	100	936
97	101	929
98	101	923
99	101	917
100	102	911
101	102	904
102	103	898
103	103	892
104	104	887
105	104	881
106	105	876
107	105	871
108	105	866
109	106	860
110	106	856
111	107	851
112	107	846
113	108	841
114	108	836
115	109	831
116	109	826
117	109	822
118	110	817
119	110	813
120	111	808
121	111	803
122	112	798
123	112	794
124	112	789
125	113	785
126	113	780
127	113	776
128	114	772
129	114	768
130	115	764
131	115	760
132	116	756
133	116	752
134	116	748
135	117	745
136	117	741
137	118	738
138	118	734
139	119	731
140	119	728
141	119	723
142	120	720
143	120	717
144	121	714
145	121	710
146	121	707
147	122	704
148	122	701
149	123	698
150	123	695
151	124	693
152	124	691
153	125	688
154	125	685
155	126	682
156	126	679
157	126	676
158	127	673
159	127	670
160	127	667
161	128	664
162	128	661
163	129	658
164	129	655
165	130	653
166	130	651
167	130	648
168	131	645
169	131	643
170	132	641
171	132	638
172	133	636
173	133	633
174	133	631
